name,category,mana_color_style,mana_color_code,mana_cost,energy_cost,art_path,frame_path,mana_icon_path,image_prompt,output_path,card_set
Tide Manta,CREATURE,Aether Blue,AZURE,3,1,art/Aether/Creature/Aether_Creature_1.png,frames/scifi_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Tide Manta’ coiling to strike with tense musculature, seen from a aerial top‑down sweep. The setting is rain-swept cliffside towers with arcane antennas, colored with cool sapphire and cyan hues, pale silver highlights; micro‑particles shining like stars, ripples of refracted light and lens flares. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/Aether_Creature_1.png,Open Portal
Wave Leviathan,CREATURE,Aether Blue,AZURE,7,3,art/Aether/Creature/Aether_Creature_2.png,frames/scifi_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Wave Leviathan’ guarding a relic as light rakes across armor, seen from a aerial top‑down sweep. The setting is crystalline observatories above a misty sea, colored with cool sapphire and cyan hues, pale silver highlights; ionized mist and spray frozen by fast shutter motion, ripples of refracted light and lens flares. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/Aether_Creature_2.png,Open Portal
Mist Sentinel,CREATURE,Aether Blue,AZURE,5,1,art/Aether/Creature/Aether_Creature_3.png,frames/scifi_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Mist Sentinel’ guarding a relic as light rakes across armor, seen from a wide cinematic landscape. The setting is rain-swept cliffside towers with arcane antennas, colored with cool sapphire and cyan hues, pale silver highlights; ionized mist and spray frozen by fast shutter motion, micro‑particles shining like stars. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/Aether_Creature_3.png,Open Portal
Frost Ray,CREATURE,Aether Blue,AZURE,3,1,art/Aether/Creature/Aether_Creature_4.png,frames/scifi_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Frost Ray’ landing from a leap, dust pluming around the impact, seen from a ground‑level tracking shot. The setting is crystalline observatories above a misty sea, colored with cool sapphire and cyan hues, pale silver highlights; soft bokeh from distant blue lanterns, micro‑particles shining like stars. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/Aether_Creature_4.png,Open Portal
Tide Voyager,CREATURE,Aether Blue,AZURE,4,1,art/Aether/Creature/Aether_Creature_5.png,frames/scifi_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Tide Voyager’ guarding a relic as light rakes across armor, seen from a ground‑level tracking shot. The setting is bioluminescent reefs with glassy wave crests, colored with cool sapphire and cyan hues, pale silver highlights; ripples of refracted light and lens flares, soft bokeh from distant blue lanterns. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/Aether_Creature_5.png,Open Portal
Wave Voyager,CREATURE,Aether Blue,AZURE,7,3,art/Aether/Creature/Aether_Creature_6.png,frames/scifi_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Wave Voyager’ stalking forward with predatory focus, seen from a aerial top‑down sweep. The setting is crystalline observatories above a misty sea, colored with cool sapphire and cyan hues, pale silver highlights; soft bokeh from distant blue lanterns, ripples of refracted light and lens flares. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/Aether_Creature_6.png,Open Portal
Gale Ray,CREATURE,Aether Blue,AZURE,6,2,art/Aether/Creature/Aether_Creature_7.png,frames/scifi_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Gale Ray’ coiling to strike with tense musculature, seen from a ground‑level tracking shot. The setting is glacial fjords with translucent blue ice caverns, colored with cool sapphire and cyan hues, pale silver highlights; ripples of refracted light and lens flares, holographic sigils spiraling through the air. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/Aether_Creature_7.png,Open Portal
Frost Leviathan,CREATURE,Aether Blue,AZURE,7,3,art/Aether/Creature/Aether_Creature_8.png,frames/scifi_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Frost Leviathan’ stalking forward with predatory focus, seen from a profile portrait with dramatic backlight. The setting is storm-charged causeways over churning waters, colored with cool sapphire and cyan hues, pale silver highlights; soft bokeh from distant blue lanterns, ionized mist and spray frozen by fast shutter motion. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/Aether_Creature_8.png,Open Portal
Aether Sentinel,CREATURE,Aether Blue,AZURE,5,1,art/Aether/Creature/Aether_Creature_9.png,frames/scifi_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Aether Sentinel’ stalking forward with predatory focus, seen from a dynamic three‑quarter view. The setting is crystalline observatories above a misty sea, colored with cool sapphire and cyan hues, pale silver highlights; holographic sigils spiraling through the air, ionized mist and spray frozen by fast shutter motion. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/Aether_Creature_9.png,Open Portal
Frost Voyager,CREATURE,Aether Blue,AZURE,3,1,art/Aether/Creature/Aether_Creature_10.png,frames/scifi_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Frost Voyager’ mid‑charge with debris kicked from the ground, seen from a over‑the‑shoulder perspective. The setting is floating libraries of light over a moonlit bay, colored with cool sapphire and cyan hues, pale silver highlights; micro‑particles shining like stars, soft bokeh from distant blue lanterns. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/Aether_Creature_10.png,Open Portal
