name,category,mana_color_style,mana_color_code,mana_cost,energy_cost,art_path,frame_path,mana_icon_path,image_prompt,output_path,card_set,frame_type,video_prompt,video_path
Tide Manta,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/tide-manta.png,frames/common_creature_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Tide Manta’ coiling to strike with tense musculature, seen from a aerial top‑down sweep. The setting is rain-swept cliffside towers with arcane antennas, colored with cool sapphire and cyan hues, pale silver highlights; micro‑particles shining like stars, ripples of refracted light and lens flares. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/tide-manta.png,Open Portal Enhanced,common_creature_frame,"Animated version of Tide Manta, subtle magical effects, 3-second loop",videos/creature/tide-manta.mp4
Wave Leviathan,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/wave-leviathan.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Wave Leviathan’ guarding a relic as light rakes across armor, seen from a aerial top‑down sweep. The setting is crystalline observatories above a misty sea, colored with cool sapphire and cyan hues, pale silver highlights; ionized mist and spray frozen by fast shutter motion, ripples of refracted light and lens flares. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/wave-leviathan.png,Open Portal Enhanced,common_creature_frame,"Animated version of Wave Leviathan, subtle magical effects, 3-second loop",videos/creature/wave-leviathan.mp4
Mist Sentinel,CREATURE,Azure Magic,AZURE,5,1,art/AZURE/CREATURE/mist-sentinel.png,frames/common_creature_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Mist Sentinel’ guarding a relic as light rakes across armor, seen from a wide cinematic landscape. The setting is rain-swept cliffside towers with arcane antennas, colored with cool sapphire and cyan hues, pale silver highlights; ionized mist and spray frozen by fast shutter motion, micro‑particles shining like stars. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/mist-sentinel.png,Open Portal Enhanced,common_creature_frame,"Animated version of Mist Sentinel, subtle magical effects, 3-second loop",videos/creature/mist-sentinel.mp4
Frost Ray,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/frost-ray.png,frames/common_creature_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Frost Ray’ landing from a leap, dust pluming around the impact, seen from a ground‑level tracking shot. The setting is crystalline observatories above a misty sea, colored with cool sapphire and cyan hues, pale silver highlights; soft bokeh from distant blue lanterns, micro‑particles shining like stars. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/frost-ray.png,Open Portal Enhanced,common_creature_frame,"Animated version of Frost Ray, subtle magical effects, 3-second loop",videos/creature/frost-ray.mp4
Tide Voyager,CREATURE,Azure Magic,AZURE,4,1,art/AZURE/CREATURE/tide-voyager.png,frames/common_creature_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Tide Voyager’ guarding a relic as light rakes across armor, seen from a ground‑level tracking shot. The setting is bioluminescent reefs with glassy wave crests, colored with cool sapphire and cyan hues, pale silver highlights; ripples of refracted light and lens flares, soft bokeh from distant blue lanterns. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/tide-voyager.png,Open Portal Enhanced,common_creature_frame,"Animated version of Tide Voyager, subtle magical effects, 3-second loop",videos/creature/tide-voyager.mp4
Wave Voyager,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/wave-voyager.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Wave Voyager’ stalking forward with predatory focus, seen from a aerial top‑down sweep. The setting is crystalline observatories above a misty sea, colored with cool sapphire and cyan hues, pale silver highlights; soft bokeh from distant blue lanterns, ripples of refracted light and lens flares. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/wave-voyager.png,Open Portal Enhanced,common_creature_frame,"Animated version of Wave Voyager, subtle magical effects, 3-second loop",videos/creature/wave-voyager.mp4
Gale Ray,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/gale-ray.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Gale Ray’ coiling to strike with tense musculature, seen from a ground‑level tracking shot. The setting is glacial fjords with translucent blue ice caverns, colored with cool sapphire and cyan hues, pale silver highlights; ripples of refracted light and lens flares, holographic sigils spiraling through the air. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/gale-ray.png,Open Portal Enhanced,common_creature_frame,"Animated version of Gale Ray, subtle magical effects, 3-second loop",videos/creature/gale-ray.mp4
Frost Leviathan,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/frost-leviathan.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Frost Leviathan’ stalking forward with predatory focus, seen from a profile portrait with dramatic backlight. The setting is storm-charged causeways over churning waters, colored with cool sapphire and cyan hues, pale silver highlights; soft bokeh from distant blue lanterns, ionized mist and spray frozen by fast shutter motion. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/frost-leviathan.png,Open Portal Enhanced,common_creature_frame,"Animated version of Frost Leviathan, subtle magical effects, 3-second loop",videos/creature/frost-leviathan.mp4
Aether Sentinel,CREATURE,Azure Magic,AZURE,5,1,art/AZURE/CREATURE/aether-sentinel.png,frames/common_creature_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Aether Sentinel’ stalking forward with predatory focus, seen from a dynamic three‑quarter view. The setting is crystalline observatories above a misty sea, colored with cool sapphire and cyan hues, pale silver highlights; holographic sigils spiraling through the air, ionized mist and spray frozen by fast shutter motion. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/aether-sentinel.png,Open Portal Enhanced,common_creature_frame,"Animated version of Aether Sentinel, subtle magical effects, 3-second loop",videos/creature/aether-sentinel.mp4
Frost Voyager,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/frost-voyager.png,frames/common_creature_frame.png,icons/mana_azure.png,"Ultra‑detailed hand‑painted scene for a premium trading card game — a fusion of Magic: The Gathering’s epic scope with Pokémon’s character appeal. Painted like a traditional oil masterpiece on canvas with layered glazing, chiaroscuro, natural film grain, tactile brush texture in edges, physically accurate light and shadow, atmospheric perspective; strictly no CGI look, no plastic shading. Depict the Aether Blue mana creature ‘Frost Voyager’ mid‑charge with debris kicked from the ground, seen from a over‑the‑shoulder perspective. The setting is floating libraries of light over a moonlit bay, colored with cool sapphire and cyan hues, pale silver highlights; micro‑particles shining like stars, soft bokeh from distant blue lanterns. Emphasize painterly realism: layered color, micro‑detail in focal areas, looser strokes in the distance, subtle edge variation, natural bloom and depth of field. Full‑frame composition, cinematic but unmistakably hand‑painted.",output/frost-voyager.png,Open Portal Enhanced,common_creature_frame,"Animated version of Frost Voyager, subtle magical effects, 3-second loop",videos/creature/frost-voyager.mp4
