name,category,mana_color_style,mana_color_code,mana_cost,energy_cost,art_path,frame_path,mana_icon_path,image_prompt,output_path,card_set,frame_type,video_prompt,video_path
Tide Manta,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/tide-manta.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Tide Manta, creature type, azure mana theme",output/tide-manta.png,Open Portal Enhanced,common_creature_frame,"Animated version of Tide Manta, subtle magical effects, 3-second loop",videos/creature/tide-manta.mp4
Wave Leviathan,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/wave-leviathan.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Wave Leviathan, creature type, azure mana theme",output/wave-leviathan.png,Open Portal Enhanced,common_creature_frame,"Animated version of Wave Leviathan, subtle magical effects, 3-second loop",videos/creature/wave-leviathan.mp4
Mist Sentinel,CREATURE,Azure Magic,AZURE,5,1,art/AZURE/CREATURE/mist-sentinel.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Mist Sentinel, creature type, azure mana theme",output/mist-sentinel.png,Open Portal Enhanced,common_creature_frame,"Animated version of Mist Sentinel, subtle magical effects, 3-second loop",videos/creature/mist-sentinel.mp4
Frost Ray,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/frost-ray.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Frost Ray, creature type, azure mana theme",output/frost-ray.png,Open Portal Enhanced,common_creature_frame,"Animated version of Frost Ray, subtle magical effects, 3-second loop",videos/creature/frost-ray.mp4
Tide Voyager,CREATURE,Azure Magic,AZURE,4,1,art/AZURE/CREATURE/tide-voyager.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Tide Voyager, creature type, azure mana theme",output/tide-voyager.png,Open Portal Enhanced,common_creature_frame,"Animated version of Tide Voyager, subtle magical effects, 3-second loop",videos/creature/tide-voyager.mp4
Wave Voyager,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/wave-voyager.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Wave Voyager, creature type, azure mana theme",output/wave-voyager.png,Open Portal Enhanced,common_creature_frame,"Animated version of Wave Voyager, subtle magical effects, 3-second loop",videos/creature/wave-voyager.mp4
Gale Ray,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/gale-ray.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Gale Ray, creature type, azure mana theme",output/gale-ray.png,Open Portal Enhanced,common_creature_frame,"Animated version of Gale Ray, subtle magical effects, 3-second loop",videos/creature/gale-ray.mp4
Frost Leviathan,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/frost-leviathan.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Frost Leviathan, creature type, azure mana theme",output/frost-leviathan.png,Open Portal Enhanced,common_creature_frame,"Animated version of Frost Leviathan, subtle magical effects, 3-second loop",videos/creature/frost-leviathan.mp4
Aether Sentinel,CREATURE,Azure Magic,AZURE,5,1,art/AZURE/CREATURE/aether-sentinel.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Aether Sentinel, creature type, azure mana theme",output/aether-sentinel.png,Open Portal Enhanced,common_creature_frame,"Animated version of Aether Sentinel, subtle magical effects, 3-second loop",videos/creature/aether-sentinel.mp4
Frost Voyager,CREATURE,Azure Magic,AZURE,3,1,art/AZURE/CREATURE/frost-voyager.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Frost Voyager, creature type, azure mana theme",output/frost-voyager.png,Open Portal Enhanced,common_creature_frame,"Animated version of Frost Voyager, subtle magical effects, 3-second loop",videos/creature/frost-voyager.mp4
Star Sentinel,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/star-sentinel.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Star Sentinel, creature type, azure mana theme",output/star-sentinel.png,Open Portal Enhanced,common_creature_frame,"Animated version of Star Sentinel, subtle magical effects, 3-second loop",videos/creature/star-sentinel.mp4
Sky Manta,CREATURE,Azure Magic,AZURE,6,2,art/AZURE/CREATURE/sky-manta.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Sky Manta, creature type, azure mana theme",output/sky-manta.png,Open Portal Enhanced,common_creature_frame,"Animated version of Sky Manta, subtle magical effects, 3-second loop",videos/creature/sky-manta.mp4
Mist Seeker,CREATURE,Azure Magic,AZURE,4,1,art/AZURE/CREATURE/mist-seeker.png,frames/common_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Mist Seeker, creature type, azure mana theme",output/mist-seeker.png,Open Portal Enhanced,common_creature_frame,"Animated version of Mist Seeker, subtle magical effects, 3-second loop",videos/creature/mist-seeker.mp4
Tide Ray,CREATURE,Azure Magic,AZURE,7,3,art/AZURE/CREATURE/tide-ray.png,frames/rare_creature_frame.png,icons/mana_azure.png,"Epic fantasy card art for Tide Ray, creature type, azure mana theme",output/tide-ray.png,Open Portal Enhanced,common_creature_frame,"Animated version of Tide Ray, subtle magical effects, 3-second loop",videos/creature/tide-ray.mp4
