slug,name,category,rarity,legendary,mana_color_code,mana_cost,energy_cost,attack,defense,health,base_energy_per_turn,equipment_slots,keywords
tide-manta,Tide Manta,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
wave-leviathan,Wave Leviathan,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
mist-sentinel,Mist Sentinel,CREATURE,COMMON,FALSE,AZURE,5,1,3,0,9,2,2,
frost-ray,Frost Ray,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
tide-voyager,Tide Voyager,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
wave-voyager,Wave Voyager,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
gale-ray,Gale Ray,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
frost-leviathan,Frost Leviathan,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
aether-sentinel,Aether Sentinel,CREATURE,COMMON,FALSE,AZURE,5,1,3,0,9,2,2,
frost-voyager,Frost Voyager,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
star-sentinel,Star Sentinel,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
sky-manta,Sky Manta,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
mist-seeker,Mist Seeker,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
tide-ray,Tide Ray,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
gale-seeker,Gale Seeker,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
gale-leviathan,Gale Leviathan,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
sky-strider,Sky Strider,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
sky-seraph,Sky Seraph,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
crystal-warden,Crystal Warden,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
echo-leviathan,Echo Leviathan,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
star-seraph,Star Seraph,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
tide-seraph,Tide Seraph,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
frost-sage,Frost Sage,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
echo-sage,Echo Sage,CREATURE,COMMON,FALSE,AZURE,5,1,3,0,9,2,2,
mist-sage,Mist Sage,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
aether-warden,Aether Warden,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
wave-strider,Wave Strider,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
mist-voyager,Mist Voyager,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
star-warden,Star Warden,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
frost-sentinel,Frost Sentinel,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
wave-seeker,Wave Seeker,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
wave-warden,Wave Warden,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
crystal-leviathan,Crystal Leviathan,CREATURE,COMMON,FALSE,AZURE,5,1,3,0,9,2,2,
frost-seraph,Frost Seraph,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
gale-strider,Gale Strider,CREATURE,COMMON,FALSE,AZURE,5,1,3,0,9,2,2,
echo-warden,Echo Warden,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
echo-strider,Echo Strider,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
aether-sage,Aether Sage,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
sky-voyager,Sky Voyager,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
frost-seeker,Frost Seeker,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
sky-ray,Sky Ray,CREATURE,COMMON,FALSE,AZURE,5,1,3,0,9,2,2,
echo-seeker,Echo Seeker,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
echo-voyager,Echo Voyager,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
tide-sage,Tide Sage,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
aether-manta,Aether Manta,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
mist-seraph,Mist Seraph,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
crystal-sentinel,Crystal Sentinel,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
wave-manta,Wave Manta,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
sky-sage,Sky Sage,CREATURE,COMMON,FALSE,AZURE,5,1,3,0,9,2,2,
aether-voyager,Aether Voyager,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
tide-sentinel,Tide Sentinel,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
gale-manta,Gale Manta,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
wave-ray,Wave Ray,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
aether-seraph,Aether Seraph,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
echo-ray,Echo Ray,CREATURE,COMMON,FALSE,AZURE,5,1,3,0,9,2,2,
sky-seeker,Sky Seeker,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
gale-sage,Gale Sage,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
gale-seraph,Gale Seraph,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
crystal-sage,Crystal Sage,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
star-manta,Star Manta,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
mist-warden,Mist Warden,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
gale-voyager,Gale Voyager,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
frost-warden,Frost Warden,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
sky-warden,Sky Warden,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
tide-seeker,Tide Seeker,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
echo-sentinel,Echo Sentinel,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
sky-sentinel,Sky Sentinel,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
tide-strider,Tide Strider,CREATURE,COMMON,FALSE,AZURE,5,1,3,0,9,2,2,
crystal-strider,Crystal Strider,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
gale-sentinel,Gale Sentinel,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
frost-manta,Frost Manta,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
mist-leviathan,Mist Leviathan,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
star-ray,Star Ray,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
crystal-manta,Crystal Manta,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
aether-ray,Aether Ray,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
sky-leviathan,Sky Leviathan,CREATURE,COMMON,FALSE,AZURE,5,1,3,0,9,2,2,
wave-seraph,Wave Seraph,CREATURE,COMMON,FALSE,AZURE,5,1,3,0,9,2,2,
crystal-voyager,Crystal Voyager,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
echo-seraph,Echo Seraph,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
star-voyager,Star Voyager,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
mist-manta,Mist Manta,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
aether-leviathan,Aether Leviathan,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
crystal-seeker,Crystal Seeker,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
frost-strider,Frost Strider,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
star-sage,Star Sage,CREATURE,COMMON,FALSE,AZURE,5,1,3,0,9,2,2,
aether-strider,Aether Strider,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
tide-warden,Tide Warden,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
mist-ray,Mist Ray,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
crystal-ray,Crystal Ray,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
tide-leviathan,Tide Leviathan,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
gale-warden,Gale Warden,CREATURE,RARE,FALSE,AZURE,7,3,4,0,11,3,2,
echo-manta,Echo Manta,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
wave-sage,Wave Sage,CREATURE,COMMON,FALSE,AZURE,4,1,3,0,8,2,2,
star-seeker,Star Seeker,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
aether-seeker,Aether Seeker,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
star-leviathan,Star Leviathan,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
wave-sentinel,Wave Sentinel,CREATURE,COMMON,FALSE,AZURE,5,1,3,0,9,2,2,
star-strider,Star Strider,CREATURE,COMMON,FALSE,AZURE,3,1,2,0,7,1,2,
mist-strider,Mist Strider,CREATURE,COMMON,FALSE,AZURE,5,1,3,0,9,2,2,
crystal-seraph,Crystal Seraph,CREATURE,RARE,FALSE,AZURE,6,2,4,0,10,3,2,
echo-observatory,Echo Observatory,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
glass-gate,Glass Gate,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
aether-array,Aether Array,STRUCTURE,COMMON,FALSE,AZURE,4,2,0,2,10,2,2,
frost-gate,Frost Gate,STRUCTURE,COMMON,FALSE,AZURE,4,2,0,2,10,2,2,
star-observatory,Star Observatory,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
nimbus-atrium,Nimbus Atrium,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
frost-harbor,Frost Harbor,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
star-harbor,Star Harbor,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
crystal-library,Crystal Library,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
nimbus-sanctum,Nimbus Sanctum,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
aether-tower,Aether Tower,STRUCTURE,COMMON,FALSE,AZURE,4,2,0,2,10,2,2,
wave-gate,Wave Gate,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
nimbus-causeway,Nimbus Causeway,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
nimbus-array,Nimbus Array,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
polar-observatory,Polar Observatory,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
sky-library,Sky Library,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
frost-sanctum,Frost Sanctum,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
polar-relay,Polar Relay,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
sky-relay,Sky Relay,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
nimbus-gate,Nimbus Gate,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
aether-library,Aether Library,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
wave-array,Wave Array,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
aether-relay,Aether Relay,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
echo-harbor,Echo Harbor,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
wave-harbor,Wave Harbor,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
glass-harbor,Glass Harbor,STRUCTURE,COMMON,FALSE,AZURE,5,2,0,2,11,2,2,
nimbus-tower,Nimbus Tower,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
frost-atrium,Frost Atrium,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
echo-library,Echo Library,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
frost-relay,Frost Relay,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
sky-harbor,Sky Harbor,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
crystal-tower,Crystal Tower,STRUCTURE,COMMON,FALSE,AZURE,4,2,0,2,10,2,2,
wave-causeway,Wave Causeway,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
star-library,Star Library,STRUCTURE,COMMON,FALSE,AZURE,2,1,0,1,8,1,2,
polar-sanctum,Polar Sanctum,STRUCTURE,RARE,FALSE,AZURE,6,2,0,3,12,3,2,
nimbus-harbor,Nimbus Harbor,STRUCTURE,COMMON,FALSE,AZURE,3,1,0,1,9,1,2,
