slug,name,category,rarity,legendary,mana_color_code,mana_cost,energy_cost,attack,defense,health,base_energy_per_turn,equipment_slots,keywords,limits_json,targeting_json,effects_json,abilities_json,rules_text,flavor_text,frame_type,video_prompt,action_speed
wave-leviathan,Wave Leviathan,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Wave Leviathan, subtle magical effects, 3-second loop",
wave-voyager,Wave Voyager,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Wave Voyager, subtle magical effects, 3-second loop",
frost-leviathan,Frost Leviathan,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Frost Leviathan, subtle magical effects, 3-second loop",
star-sentinel,Star Sentinel,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Star Sentinel, subtle magical effects, 3-second loop",
tide-ray,Tide Ray,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Tide Ray, subtle magical effects, 3-second loop",
star-seraph,Star Seraph,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Star Seraph, subtle magical effects, 3-second loop",
wave-strider,Wave Strider,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Wave Strider, subtle magical effects, 3-second loop",
mist-voyager,Mist Voyager,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Mist Voyager, subtle magical effects, 3-second loop",
frost-seeker,Frost Seeker,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Frost Seeker, subtle magical effects, 3-second loop",
echo-voyager,Echo Voyager,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Echo Voyager, subtle magical effects, 3-second loop",
wave-manta,Wave Manta,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Wave Manta, subtle magical effects, 3-second loop",
aether-voyager,Aether Voyager,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Aether Voyager, subtle magical effects, 3-second loop",
aether-seraph,Aether Seraph,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Aether Seraph, subtle magical effects, 3-second loop",
echo-sentinel,Echo Sentinel,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Echo Sentinel, subtle magical effects, 3-second loop",
aether-leviathan,Aether Leviathan,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Aether Leviathan, subtle magical effects, 3-second loop",
crystal-ray,Crystal Ray,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Crystal Ray, subtle magical effects, 3-second loop",
tide-leviathan,Tide Leviathan,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Tide Leviathan, subtle magical effects, 3-second loop",
gale-warden,Gale Warden,CREATURE,COMMON,FALSE,AZURE,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Gale Warden, subtle magical effects, 3-second loop",
hell-goliath,Hell Goliath,CREATURE,COMMON,FALSE,CRIMSON,7,3,4,0,11,3,2,,,,,,,,common_creature_frame,"Animated version of Hell Goliath, subtle magical effects, 3-second loop",
